ac_no,ac_name,district,region,reservation,is_reserved,winner_party_2021,margin_pct_polled_2021,turnout_pct_2021,total_electors_2021,votes_polled_2021,valid_votes_2021,tmc_pct_2021,bjp_pct_2021,left_inc_pct_2021,other_pct_2021,winner_pct_2021,winner_party_2026,margin_pct_polled_2026,turnout_pct_2026,total_electors_2026,votes_polled_2026,valid_votes_2026,tmc_pct_2026,bjp_pct_2026,left_inc_pct_2026,other_pct_2026,winner_pct_2026,swing_tmc,swing_bjp,tmc_lead_2021,tmc_lead_2026,roll_change_pct,turnout_change,third_party_hold_2021
270,KATWA,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,4.08,83.84,267738,224459,222679,48.45270546391892,44.34140623947476,5.827222144881197,1.378666151725129,48.07,BJP,14.64,93.08,257343,239536,238050,36.52762024784709,51.25813904641882,9.31400966183575,2.9002310438983407,50.94,-11.925085216071828,6.9167328069440615,4.11129922444416,-14.73051879857173,-3.8825269479864644,9.239999999999995,0.0
271,KETUGRAM,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,5.89,83.36,258310,215317,211697,47.344081399358515,41.352971463931944,9.49092334799265,1.8120237887168926,46.55,BJP,12.6,93.39,234702,219183,215149,38.807524087957646,51.64049100855686,1.0072089575131653,8.544775945972326,50.69,-8.53655731140087,10.287519544624914,5.9911099354265716,-12.832966920599212,-9.139406139909411,10.030000000000001,0.0
272,MANGALKOT,Purba Bardhaman,Rarh Bengal,GEN,0,TMC,10.28,86.58,251003,217329,213503,50.395544793281594,39.93339672042079,7.860779473824723,1.8102790124728927,49.51,BJP,5.8,94.42,232205,219247,215824,42.30159759804285,48.196678775298395,7.327730002224034,2.1739936244347247,47.44,-8.093947195238748,8.263282054877607,10.462148072860806,-5.895081177255548,-7.489153516093438,7.840000000000003,0.0
273,AUSGRAM,Purba Bardhaman,Rarh Bengal,SC,1,TMC,5.44,87.9,246956,217080,213041,47.12332367947954,41.57744283964119,9.57515220075009,1.724081280129177,46.25,BJP,5.55,95.66,236132,225886,223461,42.58326956381651,48.19274951781295,8.30569987604101,0.918281042329534,47.68,-4.5400541156630325,6.6153066781717556,5.545880839838347,-5.609479953996441,-4.3829670062683235,7.759999999999991,0.0
274,GALSI,Purba Bardhaman,Rarh Bengal,SC,1,TMC,8.66,86.71,256642,222538,220284,49.71037388099,40.96620725971927,7.72638956982804,1.5970292894626936,49.21,BJP,4.52,95.17,244138,232345,229565,43.62424585629343,48.19550018513275,6.782392786356805,1.397861172217019,47.62,-6.0861280246965705,7.229292925413482,8.744166621270729,-4.5712543288393235,-4.8721565449147075,8.460000000000008,0.0
275,PANDABESWAR,Paschim Bardhaman,Rarh Bengal,GEN,0,TMC,2.31,77.51,211960,164291,161556,45.75627027160861,43.40228775161554,7.54908514694595,3.292356829829904,44.99,BJP,0.8,92.69,188499,174712,173423,45.612750327234565,46.41887177594668,5.3747196161985435,2.5936582806202177,46.08,-0.14351994437404159,3.016584024331138,2.3539825199930675,-0.806121448712112,-11.068597848650686,15.179999999999993,0.0
276,DURGAPUR PURBA,Paschim Bardhaman,Rarh Bengal,GEN,0,TMC,1.94,75.11,256531,192674,190046,41.72831840712249,39.75721667385791,15.292613367290025,3.221851551729581,41.16,BJP,14.4,90.46,237454,214802,212208,36.73471311166403,51.31192038000452,10.311581090251074,1.641785418080374,50.69,-4.993605295458458,11.554703706146611,1.9711017332645753,-14.577207268340494,-7.43652813889939,15.349999999999994,0.0
277,DURGAPUR PASCHIM,Paschim Bardhaman,Rarh Bengal,GEN,0,BJP,7.45,73.12,269303,196902,194278,39.387887460237394,46.93583421694685,9.280515549882127,4.395762772933631,46.31,BJP,17.34,90.71,238974,216774,213827,36.071684118469605,53.655057593288035,7.952690726615441,2.320567561626923,52.93,-3.316203341767789,6.7192233763411835,-7.547946756709457,-17.58337347481843,-11.262035699565176,17.58999999999999,0.0
278,RANIGANJ,Paschim Bardhaman,Rarh Bengal,GEN,0,TMC,1.95,72.65,250813,182211,180205,43.37504508753919,41.401736910740546,12.035182153658333,3.1880358480619293,42.9,BJP,9.05,90.86,216243,196484,194032,41.03962233033727,50.20615156262885,7.510616805475386,1.243609301558506,49.58,-2.3354227572019255,8.804414651888301,1.9733081767986462,-9.16652923229158,-13.783177108044642,18.209999999999994,0.0
279,JAMURIA,Paschim Bardhaman,Rarh Bengal,GEN,0,TMC,4.83,75.29,221419,166703,164350,43.20170368116824,38.303011864922425,15.100699726194097,3.394584727715242,42.59,BJP,12.4,92.33,196678,181594,179893,37.59790542155615,50.11312280077602,9.536780197117174,2.7521915805506607,49.64,-5.603798259612091,11.810110935853594,4.898691816245815,-12.51521737921987,-11.173837836861333,17.039999999999992,0.0
